           x	           y	           z	          vx	          vy	          vz	           C
   0.8338968	   0.0488848	   0.0010954	   0.0378349	   0.0614412	  -0.0035281	   3.1743175
   0.8349546	   0.0504913	   0.0009958	   0.0384864	   0.0544832	  -0.0036590	   3.1743175
   0.8360275	   0.0519021	   0.0008927	   0.0389209	   0.0473157	  -0.0037778	   3.1743175
   0.8371094	   0.0531116	   0.0007865	   0.0391396	   0.0399635	  -0.0038840	   3.1743175
   0.8381944	   0.0541152	   0.0006776	   0.0391448	   0.0324510	  -0.0039772	   3.1743175
   0.8392766	   0.0549086	   0.0005663	   0.0389406	   0.0248027	  -0.0040570	   3.1743175
   0.8403504	   0.0554886	   0.0004529	   0.0385328	   0.0170434	  -0.0041230	   3.1743175
   0.8414101	   0.0558523	   0.0003379	   0.0379287	   0.0091975	  -0.0041746	   3.1743175
   0.8424505	   0.0559977	   0.0002217	   0.0371373	   0.0012899	  -0.0042115	   3.1743175
   0.8434664	   0.0559234	   0.0001047	   0.0361689	  -0.0066548	  -0.0042332	   3.1743175
   0.8444532	   0.0556288	  -0.0000127	   0.0350357	  -0.0146115	  -0.0042394	   3.1743175
   0.8454065	   0.0551138	  -0.0001301	   0.0337510	  -0.0225549	  -0.0042296	   3.1743175
   0.8463223	   0.0543793	  -0.0002470	   0.0323298	  -0.0304593	  -0.0042035	   3.1743175
   0.8471969	   0.0534266	  -0.0003629	   0.0307883	  -0.0382984	  -0.0041606	   3.1743175
   0.8480274	   0.0522578	  -0.0004773	   0.0291438	  -0.0460455	  -0.0041005	   3.1743175
   0.8488111	   0.0508761	  -0.0005899	   0.0274146	  -0.0536726	  -0.0040230	   3.1743175
   0.8495460	   0.0492850	  -0.0007001	   0.0256199	  -0.0611511	  -0.0039277	   3.1743175
   0.8502304	   0.0474891	  -0.0008074	   0.0237792	  -0.0684513	  -0.0038144	   3.1743175
   0.8508635	   0.0454937	  -0.0009113	   0.0219122	  -0.0755420	  -0.0036829	   3.1743175
   0.8514446	   0.0433052	  -0.0010113	   0.0200385	  -0.0823913	  -0.0035330	   3.1743175
   0.8519740	   0.0409306	  -0.0011069	   0.0181767	  -0.0889655	  -0.0033650	   3.1743175
   0.8524522	   0.0383780	  -0.0011976	   0.0163446	  -0.0952300	  -0.0031787	   3.1743175
   0.8528801	   0.0356566	  -0.0012829	   0.0145579	  -0.1011493	  -0.0029747	   3.1743175
   0.8532594	   0.0327764	  -0.0013623	   0.0128305	  -0.1066870	  -0.0027532	   3.1743175
   0.8535918	   0.0297484	  -0.0014353	   0.0111731	  -0.1118065	  -0.0025151	   3.1743175
   0.8538793	   0.0265849	  -0.0015015	   0.0095934	  -0.1164715	  -0.0022611	   3.1743175
   0.8541242	   0.0232987	  -0.0015605	   0.0080956	  -0.1206465	  -0.0019924	   3.1743175
   0.8543287	   0.0199041	  -0.0016118	   0.0066796	  -0.1242977	  -0.0017103	   3.1743175
   0.8544950	   0.0164160	  -0.0016552	   0.0053416	  -0.1273938	  -0.0014164	   3.1743175
   0.8546253	   0.0128500	  -0.0016902	   0.0040739	  -0.1299070	  -0.0011124	   3.1743175
   0.8547214	   0.0092228	  -0.0017167	   0.0028651	  -0.1318137	  -0.0008005	   3.1743175
   0.8547845	   0.0055514	  -0.0017345	   0.0017007	  -0.1330954	  -0.0004827	   3.1743175
   0.8548159	   0.0018533	  -0.0017434	   0.0005640	  -0.1337395	  -0.0001613	   3.1743175
   0.8548159	  -0.0018537	  -0.0017434	  -0.0005633	  -0.1337394	   0.0001613	   3.1743176
   0.8547846	  -0.0055519	  -0.0017345	  -0.0017001	  -0.1330952	   0.0004827	   3.1743176
   0.8547214	  -0.0092233	  -0.0017167	  -0.0028645	  -0.1318133	   0.0008005	   3.1743176
   0.8546254	  -0.0128505	  -0.0016902	  -0.0040733	  -0.1299065	   0.0011125	   3.1743176
   0.8544951	  -0.0164164	  -0.0016552	  -0.0053410	  -0.1273932	   0.0014164	   3.1743176
   0.8543288	  -0.0199045	  -0.0016118	  -0.0066789	  -0.1242971	   0.0017103	   3.1743176
   0.8541243	  -0.0232991	  -0.0015605	  -0.0080949	  -0.1206459	   0.0019924	   3.1743176
   0.8538794	  -0.0265852	  -0.0015015	  -0.0095928	  -0.1164709	   0.0022611	   3.1743176
   0.8535919	  -0.0297488	  -0.0014353	  -0.0111724	  -0.1118060	   0.0025151	   3.1743176
   0.8532596	  -0.0327767	  -0.0013623	  -0.0128297	  -0.1066864	   0.0027532	   3.1743176
   0.8528803	  -0.0356569	  -0.0012829	  -0.0145571	  -0.1011488	   0.0029747	   3.1743176
   0.8524524	  -0.0383783	  -0.0011976	  -0.0163437	  -0.0952295	   0.0031787	   3.1743176
   0.8519742	  -0.0409308	  -0.0011069	  -0.0181758	  -0.0889651	   0.0033650	   3.1743176
   0.8514449	  -0.0433054	  -0.0010113	  -0.0200374	  -0.0823909	   0.0035330	   3.1743176
   0.8508638	  -0.0454939	  -0.0009113	  -0.0219111	  -0.0755417	   0.0036829	   3.1743176
   0.8502308	  -0.0474893	  -0.0008074	  -0.0237779	  -0.0684510	   0.0038144	   3.1743176
   0.8495464	  -0.0492852	  -0.0007001	  -0.0256185	  -0.0611509	   0.0039277	   3.1743176
   0.8488116	  -0.0508763	  -0.0005899	  -0.0274131	  -0.0536724	   0.0040230	   3.1743176
   0.8480279	  -0.0522580	  -0.0004773	  -0.0291421	  -0.0460453	   0.0041005	   3.1743176
   0.8471974	  -0.0534268	  -0.0003629	  -0.0307865	  -0.0382984	   0.0041606	   3.1743176
   0.8463228	  -0.0543795	  -0.0002469	  -0.0323279	  -0.0304593	   0.0042035	   3.1743176
   0.8454071	  -0.0551140	  -0.0001301	  -0.0337489	  -0.0225549	   0.0042296	   3.1743176
   0.8444539	  -0.0556290	  -0.0000127	  -0.0350335	  -0.0146116	   0.0042394	   3.1743176
   0.8434672	  -0.0559236	   0.0001047	  -0.0361666	  -0.0066549	   0.0042332	   3.1743176
   0.8424513	  -0.0559979	   0.0002217	  -0.0371348	   0.0012897	   0.0042115	   3.1743176
   0.8414110	  -0.0558525	   0.0003379	  -0.0379260	   0.0091973	   0.0041746	   3.1743176
   0.8403513	  -0.0554888	   0.0004529	  -0.0385299	   0.0170431	   0.0041230	   3.1743176
   0.8392777	  -0.0549088	   0.0005663	  -0.0389375	   0.0248024	   0.0040570	   3.1743176
   0.8381955	  -0.0541154	   0.0006776	  -0.0391414	   0.0324506	   0.0039772	   3.1743176
   0.8371106	  -0.0531119	   0.0007866	  -0.0391360	   0.0399630	   0.0038840	   3.1743176
   0.8360288	  -0.0519023	   0.0008927	  -0.0389170	   0.0473152	   0.0037778	   3.1743176
   0.8349560	  -0.0504916	   0.0009958	  -0.0384822	   0.0544825	   0.0036590	   3.1743176
   0.8338983	  -0.0488852	   0.0010954	  -0.0378304	   0.0614404	   0.0035281	   3.1743176
   0.8328617	  -0.0470891	   0.0011912	  -0.0369624	   0.0681647	   0.0033856	   3.1743176
   0.8318520	  -0.0451102	   0.0012829	  -0.0358804	   0.0746311	   0.0032320	   3.1743176
   0.8308753	  -0.0429560	   0.0013702	  -0.0345884	   0.0808157	   0.0030678	   3.1743176
   0.8299372	  -0.0406347	   0.0014528	  -0.0330915	   0.0866951	   0.0028935	   3.1743176
   0.8290434	  -0.0381549	   0.0015304	  -0.0313968	   0.0922464	   0.0027097	   3.1743176
   0.8281992	  -0.0355261	   0.0016029	  -0.0295126	   0.0974472	   0.0025169	   3.1743176
   0.8274096	  -0.0327583	   0.0016698	  -0.0274488	   0.1022764	   0.0023158	   3.1743176
   0.8266796	  -0.0298621	   0.0017311	  -0.0252165	   0.1067135	   0.0021070	   3.1743176
   0.8260137	  -0.0268486	   0.0017865	  -0.0228284	   0.1107393	   0.0018911	   3.1743176
   0.8254159	  -0.0237295	   0.0018359	  -0.0202981	   0.1143363	   0.0016689	   3.1743176
   0.8248901	  -0.0205168	   0.0018790	  -0.0176408	   0.1174881	   0.0014412	   3.1743176
   0.8244394	  -0.0172232	   0.0019157	  -0.0148723	   0.1201804	   0.0012085	   3.1743176
   0.8240668	  -0.0138615	   0.0019459	  -0.0120098	   0.1224007	   0.0009717	   3.1743176
   0.8237746	  -0.0104449	   0.0019695	  -0.0090710	   0.1241386	   0.0007317	   3.1743176
   0.8235647	  -0.0069869	   0.0019864	  -0.0060744	   0.1253857	   0.0004891	   3.1743176
   0.8234384	  -0.0035013	   0.0019966	  -0.0030389	   0.1261361	   0.0002449	   3.1743176
   0.8233965	  -0.0000017	   0.0020000	   0.0000162	   0.1263861	  -0.0000001	   3.1743176


   0.8233902	   0.0000000	   0.0030000	   0.0000000	   0.1264764	   0.0000000	   3.1742745
   0.8234325	   0.0035020	   0.0029949	   0.0030553	   0.1262255	  -0.0003675	   3.1742745
   0.8235593	   0.0069902	   0.0029796	   0.0060914	   0.1254742	  -0.0007338	   3.1742745
   0.8237697	   0.0104507	   0.0029543	   0.0090886	   0.1242259	  -0.0010975	   3.1742744
   0.8240624	   0.0138697	   0.0029189	   0.0120279	   0.1224867	  -0.0014575	   3.1742744
   0.8244355	   0.0172338	   0.0028735	   0.0148911	   0.1202649	  -0.0018126	   3.1742744
   0.8248867	   0.0205298	   0.0028185	   0.0176602	   0.1175707	  -0.0021615	   3.1742744
   0.8254131	   0.0237448	   0.0027538	   0.0203183	   0.1144169	  -0.0025031	   3.1742745
   0.8260115	   0.0268662	   0.0026798	   0.0228493	   0.1108178	  -0.0028363	   3.1742745
   0.8266780	   0.0298819	   0.0025967	   0.0252383	   0.1067896	  -0.0031600	   3.1742745
   0.8274087	   0.0327802	   0.0025048	   0.0274715	   0.1023500	  -0.0034732	   3.1742745
   0.8281988	   0.0355500	   0.0024044	   0.0295362	   0.0975180	  -0.0037748	   3.1742745
   0.8290438	   0.0381807	   0.0022958	   0.0314213	   0.0923142	  -0.0040640	   3.1742745
   0.8299383	   0.0406624	   0.0021793	   0.0331168	   0.0867597	  -0.0043397	   3.1742745
   0.8308771	   0.0429855	   0.0020554	   0.0346145	   0.0808770	  -0.0046011	   3.1742745
   0.8318546	   0.0451413	   0.0019245	   0.0359075	   0.0746887	  -0.0048474	   3.1742745
   0.8328650	   0.0471218	   0.0017869	   0.0369903	   0.0682186	  -0.0050778	   3.1742745
   0.8339024	   0.0489193	   0.0016432	   0.0378591	   0.0614903	  -0.0052916	   3.1742745
   0.8349610	   0.0505271	   0.0014939	   0.0385116	   0.0545281	  -0.0054879	   3.1742745
   0.8360346	   0.0519391	   0.0013393	   0.0389472	   0.0473563	  -0.0056660	   3.1742745
   0.8371172	   0.0531497	   0.0011800	   0.0391667	   0.0399996	  -0.0058254	   3.1742745
   0.8382030	   0.0541542	   0.0010167	   0.0391727	   0.0324823	  -0.0059652	   3.1742745
   0.8392861	   0.0549484	   0.0008497	   0.0389692	   0.0248291	  -0.0060849	   3.1742745
