         # x	           y	           z	          vx	          vy	          vz	           C
   0.8364602	  -0.0523442	   0.0000000	  -0.0389588	   0.0443111	   0.0000000	   3.1743734
   0.8359241	  -0.0517085	   0.0000000	  -0.0388125	   0.0479340	   0.0000000	   3.1743734
   0.8353904	  -0.0510231	   0.0000000	  -0.0386127	   0.0515106	   0.0000000	   3.1743734
   0.8348600	  -0.0502887	   0.0000000	  -0.0383593	   0.0550380	   0.0000000	   3.1743734
   0.8343333	  -0.0495061	   0.0000000	  -0.0380523	   0.0585130	   0.0000000	   3.1743734
   0.8338112	  -0.0486759	   0.0000000	  -0.0376917	   0.0619328	   0.0000000	   3.1743734
   0.8332945	  -0.0477990	   0.0000000	  -0.0372776	   0.0652943	   0.0000000	   3.1743734
   0.8327838	  -0.0468762	   0.0000000	  -0.0368102	   0.0685945	   0.0000000	   3.1743734
   0.8322800	  -0.0459084	   0.0000000	  -0.0362900	   0.0718304	   0.0000000	   3.1743734
   0.8317837	  -0.0448964	   0.0000000	  -0.0357174	   0.0749992	   0.0000000	   3.1743734
   0.8312956	  -0.0438412	   0.0000000	  -0.0350928	   0.0780979	   0.0000000	   3.1743734
   0.8308165	  -0.0427438	   0.0000000	  -0.0344170	   0.0811236	   0.0000000	   3.1743734
   0.8303471	  -0.0416052	   0.0000000	  -0.0336906	   0.0840733	   0.0000000	   3.1743734
   0.8298880	  -0.0404265	   0.0000000	  -0.0329144	   0.0869444	   0.0000000	   3.1743734
   0.8294399	  -0.0392088	   0.0000000	  -0.0320894	   0.0897340	   0.0000000	   3.1743734
   0.8290036	  -0.0379532	   0.0000000	  -0.0312165	   0.0924393	   0.0000000	   3.1743734
   0.8285796	  -0.0366609	   0.0000000	  -0.0302969	   0.0950576	   0.0000000	   3.1743734
   0.8281686	  -0.0353332	   0.0000000	  -0.0293316	   0.0975863	   0.0000000	   3.1743734
   0.8277712	  -0.0339712	   0.0000000	  -0.0283221	   0.1000228	   0.0000000	   3.1743734
   0.8273880	  -0.0325763	   0.0000000	  -0.0272695	   0.1023645	   0.0000000	   3.1743734
