           x	           y	           z	          vx	          vy	          vz	           C	           T
   0.8273311	   0.0324738	   0.0016762	   0.0272407	   0.1027402	  -0.0022953	   3.1743175	   2.7430215
   0.8281070	   0.0352278	   0.0016105	   0.0293014	   0.0979989	  -0.0024952	   3.1743175	   2.7430215
   0.8289370	   0.0378467	   0.0015394	   0.0311872	   0.0928910	  -0.0026870	   3.1743175	   2.7430215
   0.8298163	   0.0403207	   0.0014632	   0.0328884	   0.0874372	  -0.0028702	   3.1743175	   2.7430215
   0.8307395	   0.0426405	   0.0013820	   0.0343967	   0.0816590	  -0.0030440	   3.1743175	   2.7430215
   0.8317015	   0.0447977	   0.0012963	   0.0357052	   0.0755784	  -0.0032081	   3.1743175	   2.7430215
   0.8326965	   0.0467842	   0.0012061	   0.0368085	   0.0692182	  -0.0033618	   3.1743175	   2.7430215
   0.8337189	   0.0485927	   0.0011119	   0.0377026	   0.0626015	  -0.0035047	   3.1743175	   2.7430215
   0.8347629	   0.0502164	   0.0010140	   0.0383851	   0.0557518	  -0.0036363	   3.1743175	   2.7430215
   0.8358227	   0.0516494	   0.0009125	   0.0388550	   0.0486925	  -0.0037562	   3.1743175	   2.7430215
   0.8368926	   0.0528860	   0.0008080	   0.0391130	   0.0414476	  -0.0038638	   3.1743175	   2.7430215
   0.8379666	   0.0539217	   0.0007007	   0.0391612	   0.0340407	  -0.0039588	   3.1743175	   2.7430215
   0.8390391	   0.0547523	   0.0005910	   0.0390032	   0.0264957	  -0.0040407	   3.1743175	   2.7430215
   0.8401045	   0.0553742	   0.0004791	   0.0386443	   0.0188366	  -0.0041090	   3.1743175	   2.7430215
   0.8411574	   0.0557848	   0.0003657	   0.0380912	   0.0110871	  -0.0041635	   3.1743175	   2.7430215
   0.8421925	   0.0559819	   0.0002509	   0.0373522	   0.0032712	  -0.0042036	   3.1743175	   2.7430215
   0.8432049	   0.0559639	   0.0001352	   0.0364371	  -0.0045870	  -0.0042290	   3.1743175	   2.7430215
   0.8441899	   0.0557301	   0.0000190	   0.0353572	  -0.0124634	  -0.0042393	   3.1743175	   2.7430215
   0.8451432	   0.0552802	  -0.0000973	   0.0341252	  -0.0203335	  -0.0042340	   3.1743175	   2.7430215
   0.8460608	   0.0546148	  -0.0002131	   0.0327551	  -0.0281726	  -0.0042128	   3.1743175	   2.7430215
   0.8469390	   0.0537352	  -0.0003282	   0.0312624	  -0.0359551	  -0.0041752	   3.1743175	   2.7430215
   0.8477749	   0.0526431	  -0.0004420	   0.0296635	  -0.0436554	  -0.0041210	   3.1743175	   2.7430215
   0.8485656	   0.0513412	  -0.0005541	   0.0279760	  -0.0512467	  -0.0040497	   3.1743175	   2.7430215
   0.8493090	   0.0498329	  -0.0006640	   0.0262182	  -0.0587014	  -0.0039611	   3.1743175	   2.7430215
   0.8500035	   0.0481223	  -0.0007713	   0.0244090	  -0.0659911	  -0.0038549	   3.1743175	   2.7430215
   0.8506478	   0.0462144	  -0.0008754	   0.0225674	  -0.0730861	  -0.0037310	   3.1743175	   2.7430215
   0.8512414	   0.0441149	  -0.0009758	   0.0207126	  -0.0799555	  -0.0035891	   3.1743175	   2.7430215
   0.8517841	   0.0418304	  -0.0010721	   0.0188630	  -0.0865672	  -0.0034293	   3.1743175	   2.7430215
   0.8522764	   0.0393684	  -0.0011638	   0.0170362	  -0.0928882	  -0.0032516	   3.1743175	   2.7430215
   0.8527191	   0.0367374	  -0.0012503	   0.0152484	  -0.0988842	  -0.0030563	   3.1743175	   2.7430215
   0.8531135	   0.0339468	  -0.0013313	   0.0135136	  -0.1045201	  -0.0028438	   3.1743175	   2.7430215
   0.8534611	   0.0310070	  -0.0014062	   0.0118436	  -0.1097605	  -0.0026147	   3.1743175	   2.7430215
   0.8537639	   0.0279293	  -0.0014746	   0.0102471	  -0.1145699	  -0.0023696	   3.1743175	   2.7430215
   0.8540240	   0.0247259	  -0.0015361	   0.0087295	  -0.1189135	  -0.0021096	   3.1743175	   2.7430215
   0.8542435	   0.0214102	  -0.0015902	   0.0072927	  -0.1227578	  -0.0018360	   3.1743175	   2.7430215
   0.8544248	   0.0179962	  -0.0016367	   0.0059345	  -0.1260711	  -0.0015500	   3.1743175	   2.7430215
   0.8545698	   0.0144990	  -0.0016751	   0.0046490	  -0.1288249	  -0.0012534	   3.1743175	   2.7430215
   0.8546804	   0.0109342	  -0.0017053	   0.0034267	  -0.1309944	  -0.0009480	   3.1743175	   2.7430215
   0.8547582	   0.0073181	  -0.0017271	   0.0022551	  -0.1325592	  -0.0006358	   3.1743175	   2.7430215
   0.8548044	   0.0036676	  -0.0017402	   0.0011186	  -0.1335041	  -0.0003191	   3.1743175	   2.7430215
   0.8548198	  -0.0000002	  -0.0017446	   0.0000003	  -0.1338202	   0.0000000	   3.1743175	   2.7430215
   0.8548045	  -0.0036680	  -0.0017402	  -0.0011180	  -0.1335040	   0.0003191	   3.1743176	   2.7430215
   0.8547583	  -0.0073185	  -0.0017271	  -0.0022544	  -0.1325588	   0.0006358	   3.1743176	   2.7430215
   0.8546804	  -0.0109346	  -0.0017053	  -0.0034262	  -0.1309940	   0.0009480	   3.1743176	   2.7430215
   0.8545698	  -0.0144994	  -0.0016751	  -0.0046484	  -0.1288244	   0.0012534	   3.1743176	   2.7430215
   0.8544248	  -0.0179966	  -0.0016367	  -0.0059338	  -0.1260705	   0.0015500	   3.1743176	   2.7430215
   0.8542436	  -0.0214106	  -0.0015902	  -0.0072921	  -0.1227572	   0.0018360	   3.1743176	   2.7430215
   0.8540241	  -0.0247263	  -0.0015360	  -0.0087289	  -0.1189129	   0.0021097	   3.1743176	   2.7430215
   0.8537640	  -0.0279296	  -0.0014746	  -0.0102464	  -0.1145693	   0.0023696	   3.1743176	   2.7430215
   0.8534612	  -0.0310073	  -0.0014062	  -0.0118429	  -0.1097599	   0.0026147	   3.1743176	   2.7430215
   0.8531136	  -0.0339471	  -0.0013313	  -0.0135128	  -0.1045195	   0.0028438	   3.1743176	   2.7430215
   0.8527193	  -0.0367377	  -0.0012503	  -0.0152475	  -0.0988836	   0.0030563	   3.1743176	   2.7430215
   0.8522767	  -0.0393687	  -0.0011638	  -0.0170353	  -0.0928878	   0.0032516	   3.1743176	   2.7430215
   0.8517844	  -0.0418306	  -0.0010721	  -0.0188620	  -0.0865668	   0.0034293	   3.1743176	   2.7430215
   0.8512417	  -0.0441151	  -0.0009758	  -0.0207115	  -0.0799551	   0.0035891	   3.1743176	   2.7430215
   0.8506481	  -0.0462146	  -0.0008754	  -0.0225662	  -0.0730858	   0.0037310	   3.1743176	   2.7430215
